sample,fastq_1,fastq_3,strandedness
SRR17736204,fastq/SRR17736204_1.fastq.gz,fastq/SRR17736204_3.fastq.gz,unstranded
SRR17736205,fastq/SRR17736205_1.fastq.gz,fastq/SRR17736205_3.fastq.gz,unstranded
SRR17736206,fastq/SRR17736206_1.fastq.gz,fastq/SRR17736206_3.fastq.gz,unstranded
SRR17736207,fastq/SRR17736207_1.fastq.gz,fastq/SRR17736207_3.fastq.gz,unstranded
SRR17736208,fastq/SRR17736208_1.fastq.gz,fastq/SRR17736208_3.fastq.gz,unstranded
SRR17736209,fastq/SRR17736209_1.fastq.gz,fastq/SRR17736209_3.fastq.gz,unstranded
SRR17736210,fastq/SRR17736210_1.fastq.gz,fastq/SRR17736210_3.fastq.gz,unstranded
SRR17736211,fastq/SRR17736211_1.fastq.gz,fastq/SRR17736211_3.fastq.gz,unstranded
SRR17736212,fastq/SRR17736212_1.fastq.gz,fastq/SRR17736212_3.fastq.gz,unstranded
SRR17736213,fastq/SRR17736213_1.fastq.gz,fastq/SRR17736213_3.fastq.gz,unstranded
SRR17736214,fastq/SRR17736214_1.fastq.gz,fastq/SRR17736214_3.fastq.gz,unstranded
SRR17736215,fastq/SRR17736215_1.fastq.gz,fastq/SRR17736215_3.fastq.gz,unstranded
SRR17736216,fastq/SRR17736216_1.fastq.gz,fastq/SRR17736216_3.fastq.gz,unstranded
SRR17736217,fastq/SRR17736217_1.fastq.gz,fastq/SRR17736217_3.fastq.gz,unstranded
SRR17736218,fastq/SRR17736218_1.fastq.gz,fastq/SRR17736218_3.fastq.gz,unstranded
SRR17736219,fastq/SRR17736219_1.fastq.gz,fastq/SRR17736219_3.fastq.gz,unstranded
SRR17736220,fastq/SRR17736220_1.fastq.gz,fastq/SRR17736220_3.fastq.gz,unstranded
SRR17736221,fastq/SRR17736221_1.fastq.gz,fastq/SRR17736221_3.fastq.gz,unstranded
SRR17736222,fastq/SRR17736222_1.fastq.gz,fastq/SRR17736222_3.fastq.gz,unstranded
SRR17736223,fastq/SRR17736223_1.fastq.gz,fastq/SRR17736223_3.fastq.gz,unstranded
SRR17736224,fastq/SRR17736224_1.fastq.gz,fastq/SRR17736224_3.fastq.gz,unstranded
SRR17736225,fastq/SRR17736225_1.fastq.gz,fastq/SRR17736225_3.fastq.gz,unstranded
SRR17736226,fastq/SRR17736226_1.fastq.gz,fastq/SRR17736226_3.fastq.gz,unstranded
SRR17736227,fastq/SRR17736227_1.fastq.gz,fastq/SRR17736227_3.fastq.gz,unstranded
SRR17736228,fastq/SRR17736228_1.fastq.gz,fastq/SRR17736228_3.fastq.gz,unstranded
SRR17736229,fastq/SRR17736229_1.fastq.gz,fastq/SRR17736229_3.fastq.gz,unstranded
SRR17736230,fastq/SRR17736230_1.fastq.gz,fastq/SRR17736230_3.fastq.gz,unstranded
SRR17736231,fastq/SRR17736231_1.fastq.gz,fastq/SRR17736231_3.fastq.gz,unstranded
SRR17736232,fastq/SRR17736232_1.fastq.gz,fastq/SRR17736232_3.fastq.gz,unstranded
SRR17736233,fastq/SRR17736233_1.fastq.gz,fastq/SRR17736233_3.fastq.gz,unstranded
SRR17736234,fastq/SRR17736234_1.fastq.gz,fastq/SRR17736234_3.fastq.gz,unstranded
SRR17736235,fastq/SRR17736235_1.fastq.gz,fastq/SRR17736235_3.fastq.gz,unstranded
SRR17736236,fastq/SRR17736236_1.fastq.gz,fastq/SRR17736236_3.fastq.gz,unstranded
SRR17736237,fastq/SRR17736237_1.fastq.gz,fastq/SRR17736237_3.fastq.gz,unstranded
SRR17736238,fastq/SRR17736238_1.fastq.gz,fastq/SRR17736238_3.fastq.gz,unstranded
SRR17736239,fastq/SRR17736239_1.fastq.gz,fastq/SRR17736239_3.fastq.gz,unstranded
SRR17736240,fastq/SRR17736240_1.fastq.gz,fastq/SRR17736240_3.fastq.gz,unstranded
SRR17736241,fastq/SRR17736241_1.fastq.gz,fastq/SRR17736241_3.fastq.gz,unstranded
SRR17736242,fastq/SRR17736242_1.fastq.gz,fastq/SRR17736242_3.fastq.gz,unstranded
SRR17736243,fastq/SRR17736243_1.fastq.gz,fastq/SRR17736243_3.fastq.gz,unstranded
SRR17736244,fastq/SRR17736244_1.fastq.gz,fastq/SRR17736244_3.fastq.gz,unstranded
SRR17736245,fastq/SRR17736245_1.fastq.gz,fastq/SRR17736245_3.fastq.gz,unstranded
SRR17736246,fastq/SRR17736246_1.fastq.gz,fastq/SRR17736246_3.fastq.gz,unstranded
SRR17736247,fastq/SRR17736247_1.fastq.gz,fastq/SRR17736247_3.fastq.gz,unstranded
SRR17736248,fastq/SRR17736248_1.fastq.gz,fastq/SRR17736248_3.fastq.gz,unstranded
SRR17736249,fastq/SRR17736249_1.fastq.gz,fastq/SRR17736249_3.fastq.gz,unstranded
SRR17736250,fastq/SRR17736250_1.fastq.gz,fastq/SRR17736250_3.fastq.gz,unstranded
SRR17736251,fastq/SRR17736251_1.fastq.gz,fastq/SRR17736251_3.fastq.gz,unstranded
SRR17736252,fastq/SRR17736252_1.fastq.gz,fastq/SRR17736252_3.fastq.gz,unstranded
SRR17736253,fastq/SRR17736253_1.fastq.gz,fastq/SRR17736253_3.fastq.gz,unstranded
SRR17736254,fastq/SRR17736254_1.fastq.gz,fastq/SRR17736254_3.fastq.gz,unstranded
SRR17736255,fastq/SRR17736255_1.fastq.gz,fastq/SRR17736255_3.fastq.gz,unstranded
SRR17736256,fastq/SRR17736256_1.fastq.gz,fastq/SRR17736256_3.fastq.gz,unstranded
SRR17736257,fastq/SRR17736257_1.fastq.gz,fastq/SRR17736257_3.fastq.gz,unstranded
SRR17736258,fastq/SRR17736258_1.fastq.gz,fastq/SRR17736258_3.fastq.gz,unstranded
SRR17736259,fastq/SRR17736259_1.fastq.gz,fastq/SRR17736259_3.fastq.gz,unstranded
SRR17736111,fastq/SRR17736111_1.fastq.gz,fastq/SRR17736111_3.fastq.gz,unstranded
